name	sample_age	pop	node_id	left	right	length
EUR_1	50000	EUR	0	18426078	20213683	1787605
EUR_1	50000	EUR	0	20782516	21286174	503658
EUR_1	50000	EUR	0	39419462	39687617	268155
EUR_1	50000	EUR	0	42694241	43332169	637928
EUR_1	50000	EUR	0	44959925	44984615	24690
EUR_1	50000	EUR	0	61453907	61839901	385994
EUR_1	50000	EUR	0	67648655	69181765	1533110
EUR_1	50000	EUR	0	69828177	70456590	628413
EUR_1	50000	EUR	0	82000259	82063783	63524
EUR_1	50000	EUR	0	89363346	89741305	377959
EUR_1	50000	EUR	0	97830524	1e+08	2169476
EUR_1	50000	EUR	1	9011915	10124749	1112834
EUR_1	50000	EUR	1	12188950	14698415	2509465
EUR_1	50000	EUR	1	51437064	51970981	533917
EUR_1	50000	EUR	1	68946898	69697065	750167
EUR_1	50000	EUR	1	82792580	83195054	402474
EUR_1	50000	EUR	1	95479556	97452628	1973072
EUR_2	50000	EUR	2	19428979	19500070	71091
EUR_2	50000	EUR	2	28902334	28924567	22233
EUR_2	50000	EUR	2	95479556	95688382	208826
EUR_2	50000	EUR	3	23527826	24893691	1365865
EUR_2	50000	EUR	3	42192064	42805353	613289
EUR_2	50000	EUR	3	52803101	54443838	1640737
EUR_2	50000	EUR	3	60632410	60819999	187589
EUR_2	50000	EUR	3	74865010	74934176	69166
EUR_2	50000	EUR	3	92231189	93922616	1691427
EUR_3	50000	EUR	4	13925200	14946686	1021486
EUR_3	50000	EUR	4	15416103	15452050	35947
EUR_3	50000	EUR	4	94706514	94907526	201012
EUR_3	50000	EUR	4	95214908	95324801	109893
EUR_3	50000	EUR	5	18525229	18848545	323316
EUR_3	50000	EUR	5	44296064	45803307	1507243
EUR_4	50000	EUR	6	38850434	39967328	1116894
EUR_4	50000	EUR	6	45882445	46389264	506819
EUR_4	50000	EUR	6	50312414	51942296	1629882
EUR_4	50000	EUR	6	58155828	58269219	113391
EUR_4	50000	EUR	6	75606915	75758401	151486
EUR_4	50000	EUR	6	88569530	88753247	183717
EUR_4	50000	EUR	7	20017340	20605953	588613
EUR_4	50000	EUR	7	28680829	28924567	243738
EUR_4	50000	EUR	7	40965814	41344928	379114
EUR_4	50000	EUR	7	43939980	44694773	754793
EUR_4	50000	EUR	7	52427417	53055105	627688
EUR_4	50000	EUR	7	73693142	74344082	650940
EUR_5	50000	EUR	8	42386469	42769973	383504
EUR_5	50000	EUR	8	44959925	45326865	366940
EUR_5	50000	EUR	8	73053132	75858266	2805134
EUR_5	50000	EUR	8	81083607	82597699	1514092
EUR_5	50000	EUR	8	92896400	93014157	117757
EUR_5	50000	EUR	8	93460717	93608219	147502
EUR_5	50000	EUR	8	97080789	98797524	1716735
EUR_5	50000	EUR	9	48129505	48729924	600419
EUR_5	50000	EUR	9	49103909	49260150	156241
EUR_5	50000	EUR	9	66707769	69181765	2473996
EUR_5	50000	EUR	9	69828177	70456590	628413
EUR_5	50000	EUR	9	96303107	96638050	334943
EUR_6	50000	EUR	10	8138672	8193673	55001
EUR_6	50000	EUR	10	19349073	20065329	716256
EUR_6	50000	EUR	10	49544217	50035709	491492
EUR_6	50000	EUR	10	74724696	75248278	523582
EUR_6	50000	EUR	10	86681647	86884319	202672
EUR_6	50000	EUR	10	87231851	87260539	28688
EUR_6	50000	EUR	11	272075	856407	584332
